Species,Final Concentration,Unit
Glycerol,0.1556119109,mole
H2O,1.977949919,mole
N08D00,0.01102504067,mole
N10D00,0.01102504067,mole
G_EMPTY_EMPTY_N08D00,0.1601380755,mole
G_EMPTY_N08D00_EMPTY,0.08006903773,mole
G_EMPTY_EMPTY_N10D00,0.1601380755,mole
G_EMPTY_N10D00_EMPTY,0.08006903773,mole
G_EMPTY_N08D00_N08D00,0.0823976493,mole
G_N08D00_EMPTY_N08D00,0.04119882465,mole
G_EMPTY_N10D00_N08D00,0.0823976493,mole
G_N08D00_EMPTY_N10D00,0.0823976493,mole
G_EMPTY_N08D00_N10D00,0.0823976493,mole
G_EMPTY_N10D00_N10D00,0.0823976493,mole
G_N10D00_EMPTY_N10D00,0.04119882465,mole
G_N08D00_N08D00_N08D00,0.02119849586,mole
G_N08D00_N08D00_N10D00,0.04239699173,mole
G_N08D00_N10D00_N08D00,0.02119849586,mole
G_N08D00_N10D00_N10D00,0.04239699173,mole
G_N10D00_N08D00_N10D00,0.02119849586,mole
G_N10D00_N10D00_N10D00,0.02119849586,mole